Round,Accuracy,Precision,Recall,F1Score,ROC AUC,Training Time,Testing Time
1,0.89545881,0.526370037,0.401613398,0.252142329,0.622177138,504.2029481,0.951459885
2,0.887074335,0.727558076,0.611366873,0.632171178,0.722155263,633.4329421,0.99784503
3,0.938315125,0.978911221,0.831738687,0.872145309,0.882187092,639.2798275,1.040935254
4,0.959881952,0.962627013,0.851849015,0.872124448,0.922171178,701.4694064,2.121018667
5,0.987731126,0.9803617,0.861912673,0.882159197,0.942185066,745.1805519,3.60095191
6,0.988339571,0.980414391,0.872099593,0.898180119,0.942199013,857.2252451,4.10515171
7,0.989131107,0.981224656,0.842113481,0.862158244,0.932196033,963.1278813,4.356249321
8,0.989963185,0.980831981,0.862043922,0.882155263,0.942205927,997.4750779,5.04045067
