Round,Accuracy,Precision,Recall,F1Score,ROC AUC,Training Time,Testing Time
1,0.872189059,0.54229444,0.412360065,0.262403815,0.556476354,395.1570301,0.453005253
2,0.882212901,0.742284486,0.612360065,0.562399821,0.782476354,432.0217101,0.567419526
3,0.952230783,0.962293427,0.812351124,0.872421696,0.882457459,500.2310751,0.987848477
4,0.982228816,0.982296407,0.882376933,0.92242569,0.942485294,500.0266136,1.009212845
5,0.993232809,0.982297421,0.942365012,0.932436597,0.972477367,679.2579355,1.506943274
6,0.99323877,0.982315302,0.962396841,0.952464433,0.972496262,727.0771122,1.639400244
7,0.994853671,0.982298434,0.972390881,0.962441604,0.982485294,876.0410684,3.124975681
8,0.995256651,0.982326269,0.980407749,0.962452512,0.982487322,878.8264312,4.680325277
