Wall time,Step,Value
1615094218.424005,5,0.133464053273201
1615094219.180686,6,0.1300230324268341
1615094224.076463,10,0.10441985726356506
1615094224.885671,11,0.09580951184034348
1615094226.58558,13,0.07816093415021896
1615094227.517028,14,0.07160461694002151
1615094228.422701,15,0.06643009185791016
1615094229.834331,17,0.06131228059530258
1615094230.639154,18,0.060768187046051025
1615094231.698556,19,0.058984845876693726
1615094232.258325,20,0.05872796103358269
1615094235.133888,24,0.057454515248537064
1615094240.957584,33,0.0576251782476902
1615094241.755594,34,0.05692021921277046
1615094243.116681,36,0.05733124166727066
1615094245.030419,39,0.05628826096653938
1615094245.698879,40,0.056300025433301926
1615094247.651799,42,0.05668007209897041
1615094248.884698,44,0.055920589715242386
1615094249.465325,45,0.05595939978957176
1615094250.658861,47,0.05626198649406433
1615094251.924195,49,0.05600203573703766
1615094252.531513,50,0.05632868409156799
1615094254.263413,53,0.05564089119434357
1615094254.891572,54,0.055815648287534714
1615094255.534366,55,0.055457405745983124
1615094256.445213,56,0.05529129132628441
1615094257.077467,57,0.05546944588422775
1615094259.109367,60,0.055598143488168716
1615094259.709425,61,0.05505070462822914
1615094261.178634,63,0.05453312397003174
1615094266.865474,65,0.054564181715250015
1615094267.608155,66,0.05514774098992348
1615094268.674811,67,0.054573677480220795
1615094269.347576,68,0.0541846789419651
1615094271.742926,71,0.054780714213848114
1615094272.671333,72,0.0556706078350544
1615094273.245286,73,0.054156869649887085
1615094273.842192,74,0.054107971489429474
1615094275.605085,76,0.05451217293739319
1615094277.986924,79,0.05380098521709442
1615094283.476816,84,0.05359785258769989
1615094284.821125,85,0.05344633758068085
1615094285.483613,86,0.0536225363612175
1615094286.249226,87,0.05385424196720123
1615094288.290448,88,0.053353384137153625
1615094289.953279,89,0.05302710458636284
1615094293.191218,94,0.0526590459048748
1615094299.113902,102,0.05258086696267128
1615094301.989254,105,0.05212251469492912
1615094303.332429,106,0.05254264548420906
1615094315.412174,113,0.051810454577207565
1615094317.148828,116,0.05134442076086998
1615094318.272945,118,0.052024055272340775
1615094318.753141,119,0.05099039152264595
1615094319.29392,120,0.05204245448112488
1615094321.459556,124,0.05149351432919502
1615094322.054706,125,0.05080708861351013
1615094322.602182,126,0.050948888063430786
1615094324.19302,129,0.05077480897307396
1615094324.845037,130,0.05109195411205292
1615094326.578543,133,0.05062558501958847
1615094328.737346,137,0.05079285055398941
1615094329.761674,139,0.05156055837869644
1615094330.929027,141,0.04992380738258362
1615094331.520487,142,0.051998578011989594
1615094332.08391,143,0.04954991489648819
1615094332.615014,144,0.0501997172832489
1615094334.804228,148,0.049604080617427826
1615094335.932419,150,0.04919872432947159
