Round,Accuracy,Precision,Recall,F1Score,ROC AUC,Training Time,Testing Time
1,0.684949704,0.50567894,0.388580971,0.151068451,0.315066075,75.46756339,0.712372475
2,0.759718714,0.556020951,0.65884639,0.55145916,0.485155542,105.8936912,0.991095961
3,0.794864864,0.636442475,0.779040284,0.701526752,0.554031396,119.2321732,0.992299035
4,0.781233864,0.606848085,0.769043264,0.662109387,0.675804756,142.1044016,1.090141058
5,0.773204393,0.667272589,0.759848583,0.714269989,0.695611875,167.4198551,1.25515192
6,0.79730398,0.707547009,0.780004628,0.762999165,0.716433108,203.3869839,1.718249321
7,0.796659878,0.658065987,0.760477889,0.694106679,0.726103017,258.4859836,1.912341221
8,0.793104291,0.678345354,0.770672736,0.75435523,0.736513634,302.2706506,2.181155927
