Wall time,Step,Value
1615094218.424594,5,0.9637143015861511
1615094219.181349,6,0.9637143015861511
1615094224.076932,10,0.9637143015861511
1615094224.886095,11,0.9637143015861511
1615094226.586018,13,0.9708571434020996
1615094227.517381,14,0.9791428446769714
1615094228.423178,15,0.9834285974502563
1615094229.834933,17,0.984000027179718
1615094230.639656,18,0.984000027179718
1615094231.699167,19,0.984000027179718
1615094232.258745,20,0.9842857122421265
1615094235.134854,24,0.9848571419715881
1615094240.958021,33,0.9837142825126648
1615094241.755953,34,0.984000027179718
1615094243.117132,36,0.9845714569091797
1615094245.030811,39,0.9848571419715881
1615094245.699372,40,0.9842857122421265
1615094247.652626,42,0.9842857122421265
1615094248.885123,44,0.9842857122421265
1615094249.465729,45,0.9828571677207947
1615094250.659238,47,0.9837142825126648
1615094251.924715,49,0.9842857122421265
1615094252.532206,50,0.9845714569091797
1615094254.263859,53,0.9845714569091797
1615094254.892256,54,0.984000027179718
1615094255.534807,55,0.9845714569091797
1615094256.44568,56,0.9848571419715881
1615094257.077989,57,0.9837142825126648
1615094259.109775,60,0.9842857122421265
1615094259.71003,61,0.984000027179718
1615094261.179032,63,0.9842857122421265
1615094266.865855,65,0.9845714569091797
1615094267.608876,66,0.9848571419715881
1615094268.675676,67,0.9842857122421265
1615094269.348296,68,0.9842857122421265
1615094271.743629,71,0.984000027179718
1615094272.67192,72,0.9842857122421265
1615094273.246006,73,0.9842857122421265
1615094273.842969,74,0.9845714569091797
1615094275.60597,76,0.9842857122421265
1615094277.987203,79,0.9848571419715881
1615094283.47731,84,0.9851428866386414
1615094284.821388,85,0.9848571419715881
1615094285.483879,86,0.9845714569091797
1615094286.249485,87,0.9851428866386414
1615094288.290703,88,0.9845714569091797
1615094289.953615,89,0.9845714569091797
1615094293.191526,94,0.9845714569091797
1615094299.114165,102,0.9848571419715881
1615094301.989512,105,0.9845714569091797
1615094303.332876,106,0.9854285717010498
1615094315.412504,113,0.9860000014305115
1615094317.149081,116,0.9848571419715881
1615094318.273198,118,0.9851428866386414
1615094318.753419,119,0.9857142567634583
1615094319.294184,120,0.9851428866386414
1615094321.459821,124,0.9862856864929199
1615094322.054965,125,0.9865714311599731
1615094322.60244,126,0.9860000014305115
1615094324.193401,129,0.9857142567634583
1615094324.845503,130,0.9848571419715881
