Wall time,Step,Value
1615104505.657824,5,0.9637143015861511
1615104507.030936,6,0.9637143015861511
1615104512.552746,10,0.9637143015861511
1615104514.030614,11,0.9637143015861511
1615104516.635073,13,0.9639999866485596
1615104517.880717,14,0.9725714325904846
1615104519.125668,15,0.980571448802948
1615104523.135541,18,0.9819999933242798
1615104524.618257,19,0.9831428527832031
1615104526.030085,20,0.9831428527832031
1615104531.509703,24,0.9828571677207947
1615104555.014141,33,0.9837142825126648
1615104556.122472,34,0.9837142825126648
1615104558.208412,36,0.984000027179718
1615104562.56087,40,0.984000027179718
1615104565.391137,42,0.9851428866386414
1615104567.369118,44,0.9831428527832031
1615104568.358249,45,0.9848571419715881
1615104570.587765,47,0.9834285974502563
1615104573.140439,49,0.9845714569091797
1615104574.462164,50,0.9848571419715881
1615104577.55983,53,0.9842857122421265
1615104578.664362,54,0.9837142825126648
1615104579.613751,55,0.984000027179718
1615104580.67887,56,0.9842857122421265
1615104581.592704,57,0.9845714569091797
1615104586.105329,61,0.9845714569091797
1615104588.320691,63,0.9842857122421265
1615104590.477724,65,0.9851428866386414
1615104591.556721,66,0.9854285717010498
1615104592.60407,67,0.9848571419715881
1615104593.648994,68,0.9842857122421265
1615104596.790578,71,0.9860000014305115
1615104597.866565,72,0.9848571419715881
1615104598.972667,73,0.9837142825126648
1615104600.067625,74,0.9848571419715881
1615104608.007646,79,0.9857142567634583
1615104613.186714,84,0.9842857122421265
1615104614.373796,85,0.9845714569091797
1615104615.637079,86,0.9845714569091797
1615104616.785755,87,0.9854285717010498
1615104618.207776,88,0.9834285974502563
1615104619.538092,89,0.984000027179718
1615104624.93487,94,0.9837142825126648
1615104633.378818,102,0.9854285717010498
1615104638.717694,105,0.9845714569091797
1615104639.802689,106,0.9857142567634583
1615104647.272735,113,0.9860000014305115
1615104650.423841,116,0.9842857122421265
1615104652.680872,118,0.9845714569091797
1615104653.666244,119,0.9854285717010498
1615104658.765689,124,0.9862856864929199
1615104660.855758,125,0.9854285717010498
1615104664.910829,126,0.9854285717010498
1615104668.131299,129,0.9857142567634583
1615104669.042469,130,0.9860000014305115
1615104676.28277,137,0.9854285717010498
1615104678.582788,139,0.9851428866386414
1615104680.58188,141,0.9848571419715881
1615104681.570867,142,0.9854285717010498
1615104682.625772,143,0.9857142567634583
1615104683.623426,144,0.9848571419715881
1615104689.965188,150,0.9865714311599731
1615104692.927588,153,0.9857142567634583
1615104694.93837,155,0.9845714569091797
1615104696.941742,157,0.9851428866386414
1615104698.082283,158,0.9862856864929199
1615104699.12257,159,0.9862856864929199
1615104702.21804,162,0.9868571162223816
1615104705.178931,165,0.9860000014305115
1615104707.135869,167,0.9862856864929199
1615104708.315821,168,0.9851428866386414
1615104711.547452,171,0.9868571162223816
1615104716.626488,176,0.9862856864929199
1615104717.645657,177,0.9857142567634583
1615104718.745861,178,0.9862856864929199
1615104720.81014,180,0.9857142567634583
1615104723.952543,183,0.9862856864929199
1615104726.465981,185,0.9862856864929199
1615104727.399203,186,0.9862856864929199
1615104729.422708,188,0.9868571162223816
1615104731.600622,190,0.9862856864929199
1615104732.686618,191,0.9865714311599731
1615104739.759217,198,0.9871428608894348
1615104752.070418,6,0.9862856864929199
1615104753.183429,7,0.9865714311599731
1615104754.301079,8,0.9865714311599731
1615104759.103369,12,0.9868571162223816
1615104762.254789,15,0.9860000014305115
1615104765.649336,18,0.9862856864929199
1615104770.076814,22,0.9860000014305115
1615104771.31461,23,0.9860000014305115
1615104773.497517,25,0.9860000014305115
1615104774.509947,26,0.9874285459518433
1615104776.253462,27,0.9871428608894348
1615104778.435531,29,0.9860000014305115
1615104781.673282,32,0.9871428608894348
1615104782.910751,33,0.9874285459518433
1615104784.127974,34,0.9865714311599731
1615104787.610481,37,0.9865714311599731
1615104799.470112,47,0.9868571162223816
1615104801.858619,49,0.9865714311599731
1615104808.968418,55,0.9865714311599731
1615104812.881145,58,0.9871428608894348
1615104814.041543,59,0.9874285459518433
1615104815.155112,60,0.9868571162223816
1615104816.314102,61,0.9865714311599731
1615104818.522607,63,0.9871428608894348
1615104823.238279,67,0.9857142567634583
1615104825.571367,69,0.9865714311599731
1615104828.031867,71,0.9862856864929199
1615104830.306043,73,0.9862856864929199
1615104836.146228,78,0.9860000014305115
1615104838.289875,80,0.9862856864929199
1615104843.239937,84,0.9868571162223816
1615104849.027616,89,0.9868571162223816
1615104851.486981,91,0.9879999756813049
1615104852.656612,92,0.9871428608894348
1615104858.474855,97,0.9868571162223816
1615104859.629314,98,0.9868571162223816
1615104860.776471,99,0.9862856864929199
1615104863.030561,101,0.9877142906188965
1615104864.049181,102,0.9871428608894348
1615104865.124743,103,0.9871428608894348
1615104869.359387,107,0.9868571162223816
1615104870.525229,108,0.9874285459518433
1615104872.709744,110,0.9874285459518433
1615104876.120536,113,0.9871428608894348
1615104880.578083,117,0.9868571162223816
1615104881.759589,118,0.9868571162223816
1615104882.778664,119,0.9874285459518433
1615104883.900812,120,0.9871428608894348
1615104886.346077,122,0.9879999756813049
1615104889.826646,125,0.9879999756813049
1615104891.519136,126,0.9879999756813049
1615104892.622897,127,0.9879999756813049
1615104896.164742,130,0.9874285459518433
1615104897.34707,131,0.9879999756813049
1615104899.624214,133,0.9874285459518433
1615104906.33082,139,0.9882857203483582
1615104909.105444,141,0.9877142906188965
1615104912.483153,144,0.9879999756813049
1615104913.718588,145,0.9882857203483582
1615104915.899076,147,0.9865714311599731
1615104916.975491,148,0.9871428608894348
1615104922.553631,153,0.9874285459518433
1615104923.651206,154,0.9871428608894348
1615104926.464124,156,0.9868571162223816
1615104928.753222,158,0.9879999756813049
1615104929.88461,159,0.9879999756813049
1615104931.270812,160,0.9868571162223816
1615104934.666936,163,0.9882857203483582
1615104939.100496,167,0.9879999756813049
1615104942.54264,170,0.9871428608894348
1615104943.703557,171,0.9879999756813049
1615104945.916915,173,0.9877142906188965
1615104950.968291,177,0.9868571162223816
1615104952.053629,178,0.9877142906188965
1615104953.188087,179,0.9868571162223816
1615104955.51501,181,0.9877142906188965
1615104956.47556,182,0.9879999756813049
1615104962.105518,186,0.9877142906188965
1615104963.504307,187,0.9874285459518433
1615104964.642544,188,0.9879999756813049
1615104966.903143,190,0.9882857203483582
1615104967.977273,191,0.9885714054107666
1615104969.124066,192,0.9882857203483582
1615104970.279542,193,0.9877142906188965
1615104980.843666,202,0.9874285459518433
1615104981.935755,203,0.9885714054107666
1615104987.530636,208,0.9874285459518433
1615104996.060825,215,0.9877142906188965
1615104997.110194,216,0.9882857203483582
1615105001.523394,220,0.9877142906188965
1615105002.735197,221,0.9882857203483582
1615105003.83866,222,0.9877142906188965
1615105005.918296,224,0.9874285459518433
1615105008.77121,226,0.9879999756813049
1615105013.352561,230,0.9877142906188965
1615105023.628307,239,0.9877142906188965
1615105024.772034,240,0.9874285459518433
1615105025.865853,241,0.9874285459518433
1615105026.973793,242,0.9879999756813049
1615105030.46443,245,0.9879999756813049
1615105033.744844,248,0.9874285459518433
1615105037.175776,251,0.9874285459518433
1615105045.327275,258,0.9877142906188965
1615105046.45772,259,0.9882857203483582
1615105047.459276,260,0.9877142906188965
1615105048.570568,261,0.9877142906188965
1615105050.893538,263,0.9877142906188965
1615105051.942284,264,0.9877142906188965
1615105055.457213,267,0.9882857203483582
1615105056.537913,268,0.9885714054107666
1615105058.2736,269,0.9868571162223816
1615105062.664025,273,0.9882857203483582
1615105063.7792,274,0.9879999756813049
1615105068.088301,278,0.9882857203483582
1615105076.626285,285,0.9877142906188965
1615105079.987309,288,0.9885714054107666
1615105081.204438,289,0.9879999756813049
1615105083.397245,291,0.9882857203483582
1615105085.761512,293,0.9877142906188965
1615105089.225111,296,0.9877142906188965
1615105102.329247,307,0.9888571500778198
1615105105.920727,310,0.9882857203483582
1615105107.061956,311,0.9871428608894348
1615105108.30073,312,0.9888571500778198
1615105110.563733,314,0.9874285459518433
1615105112.756182,316,0.9874285459518433
1615105113.922651,317,0.9882857203483582
1615105116.168317,319,0.9882857203483582
1615105121.832762,324,0.9879999756813049
1615105123.252279,325,0.9885714054107666
1615105130.160307,331,0.9888571500778198
1615105132.072091,333,0.9882857203483582
1615105133.160025,334,0.9885714054107666
1615105134.16218,335,0.9885714054107666
1615105135.18266,336,0.9882857203483582
1615105136.359666,337,0.9879999756813049
1615105137.472032,338,0.9882857203483582
1615105138.625995,339,0.9882857203483582
1615105139.790707,340,0.9879999756813049
1615105140.868974,341,0.9874285459518433
1615105142.046737,342,0.9894285798072815
1615105144.229727,344,0.9879999756813049
1615105147.519539,347,0.9879999756813049
1615105148.786476,348,0.9882857203483582
1615105150.076015,349,0.9885714054107666
1615105152.217472,351,0.9885714054107666
1615105156.662837,355,0.9879999756813049
1615105158.989094,357,0.9888571500778198
1615105161.242631,359,0.9879999756813049
1615105165.944539,363,0.9882857203483582
1615105167.156395,364,0.9879999756813049
1615105168.424191,365,0.9888571500778198
1615105172.928478,369,0.9879999756813049
1615105177.837684,373,0.9882857203483582
1615105178.97356,374,0.9882857203483582
1615105182.235322,377,0.9882857203483582
1615105184.515452,379,0.9882857203483582
1615105185.616357,380,0.9882857203483582
1615105186.798536,381,0.9882857203483582
1615105187.853712,382,0.9888571500778198
1615105188.89943,383,0.9882857203483582
1615105189.947506,384,0.9879999756813049
1615105192.751491,386,0.9882857203483582
1615105193.858946,387,0.9882857203483582
1615105199.270109,392,0.9879999756813049
1615105200.394236,393,0.9874285459518433
1615105203.882087,396,0.9885714054107666
1615105205.093935,397,0.9879999756813049
1615105209.352248,400,0.9882857203483582
1615105211.692178,402,0.9888571500778198
1615105216.868749,406,0.9891428351402283
1615105219.231339,408,0.9879999756813049
1615105221.643478,410,0.9882857203483582
1615105222.769707,411,0.9885714054107666
1615105223.894549,412,0.9877142906188965
1615105227.576023,415,0.9877142906188965
1615105232.236655,419,0.9885714054107666
1615105233.494849,420,0.9882857203483582
1615105236.022767,422,0.9882857203483582
1615105239.409963,425,0.9888571500778198
1615105244.726389,429,0.9879999756813049
1615105250.589028,434,0.9885714054107666
1615105258.397461,441,0.9885714054107666
1615105259.650101,442,0.9882857203483582
1615105261.797551,444,0.9882857203483582
1615105262.766055,445,0.9888571500778198
1615105263.679604,446,0.9894285798072815
1615105264.805566,447,0.9885714054107666
1615105265.82334,448,0.9879999756813049
1615105267.147613,449,0.9894285798072815
1615105269.571788,451,0.9879999756813049
1615105270.616118,452,0.9882857203483582
1615105275.63202,456,0.9882857203483582
1615105276.848515,457,0.9877142906188965
1615105281.171589,461,0.9885714054107666
1615105284.621376,464,0.9885714054107666
1615105286.869728,466,0.9879999756813049
1615105288.006283,467,0.9882857203483582
1615105289.071095,468,0.9885714054107666
1615105292.873953,471,0.9874285459518433
1615105294.009545,472,0.9882857203483582
1615105295.14189,473,0.9885714054107666
1615105296.277616,474,0.9882857203483582
1615105297.309765,475,0.9882857203483582
1615105299.365211,477,0.9885714054107666
1615105300.481974,478,0.9885714054107666
1615105301.672985,479,0.9882857203483582
1615105303.922839,481,0.9885714054107666
1615105304.913471,482,0.9885714054107666
1615105306.141792,483,0.9882857203483582
1615105307.415046,484,0.9879999756813049
1615105308.565122,485,0.9885714054107666
1615105309.744252,486,0.9882857203483582
1615105311.911184,488,0.9885714054107666
1615105313.074625,489,0.9888571500778198
1615105321.007949,496,0.9885714054107666
1615105324.546132,499,0.9882857203483582
1615105325.837592,500,0.9885714054107666
1615105327.101326,501,0.9885714054107666
1615105329.264028,503,0.9882857203483582
1615105332.580366,506,0.9882857203483582
1615105335.076305,508,0.9882857203483582
1615105337.329517,510,0.9894285798072815
1615105341.764708,514,0.9879999756813049
1615105346.281465,518,0.9882857203483582
1615105347.471388,519,0.9882857203483582
1615105349.731272,521,0.9882857203483582
1615105350.984205,522,0.9882857203483582
1615105352.160054,523,0.9885714054107666
1615105353.361415,524,0.9885714054107666
1615105354.392312,525,0.9885714054107666
1615105360.417136,530,0.9879999756813049
1615105367.012741,536,0.9888571500778198
1615105369.370643,538,0.9885714054107666
1615105370.441509,539,0.9882857203483582
1615105371.568824,540,0.9882857203483582
1615105372.68328,541,0.9882857203483582
1615105375.309581,543,0.9891428351402283
1615105378.656945,546,0.9885714054107666
1615105379.979115,547,0.9882857203483582
1615105383.443971,550,0.9888571500778198
1615105384.575437,551,0.9888571500778198
1615105385.850201,552,0.9885714054107666
1615105388.288255,554,0.9879999756813049
1615105390.655858,556,0.9885714054107666
1615105394.380434,559,0.9882857203483582
1615105397.647872,562,0.9882857203483582
1615105401.002851,565,0.9882857203483582
1615105402.073315,566,0.9882857203483582
1615105403.152645,567,0.9874285459518433
1615105405.443505,569,0.9879999756813049
1615105406.711451,570,0.9882857203483582
1615105407.918891,571,0.9888571500778198
1615105410.495587,573,0.9882857203483582
1615105411.901719,574,0.9885714054107666
1615105412.984326,575,0.9885714054107666
1615105418.709802,580,0.9888571500778198
1615105423.347773,584,0.9885714054107666
1615105424.703052,585,0.9885714054107666
1615105427.242481,587,0.9882857203483582
1615105429.532446,589,0.9882857203483582
1615105431.790623,591,0.9882857203483582
1615105432.953982,592,0.9882857203483582
1615105434.044493,593,0.9885714054107666
1615105435.199525,594,0.9885714054107666
1615105436.263674,595,0.9885714054107666
1615105437.349514,596,0.9882857203483582
1615105439.449205,598,0.9879999756813049
1615105441.706865,600,0.9882857203483582
1615105443.945076,602,0.9894285798072815
1615105447.42484,605,0.9885714054107666
1615105449.627104,607,0.9882857203483582
1615105450.79336,608,0.9879999756813049
1615105451.995546,609,0.9888571500778198
1615105456.542437,613,0.9888571500778198
1615105458.943367,615,0.9885714054107666
1615105460.180368,616,0.9882857203483582
1615105462.365963,618,0.9888571500778198
1615105465.8407,621,0.9885714054107666
1615105470.309392,625,0.9885714054107666
1615105473.968879,628,0.9882857203483582
1615105477.308247,631,0.9885714054107666
1615105478.450035,632,0.9885714054107666
1615105480.728145,634,0.9888571500778198
1615105482.978257,636,0.9885714054107666
1615105485.313452,638,0.9888571500778198
1615105491.693991,643,0.9885714054107666
1615105493.957756,645,0.9885714054107666
