Wall time,Step,Value
1615098011.392786,0,0.9682857394218445
1615098017.92323,1,0.9825714230537415
1615098022.717899,2,0.9831428527832031
1615098027.381214,3,0.984000027179718
1615098031.940565,4,0.9860000014305115
1615098035.93614,5,0.9854285717010498
1615098039.991745,6,0.9871428608894348
1615098044.319278,7,0.9854285717010498
1615098048.414637,8,0.9874285459518433
1615098052.277348,9,0.9868571162223816
1615098056.287984,10,0.9854285717010498
1615098060.025448,11,0.9877142906188965
1615098064.298149,12,0.9871428608894348
1615098068.16398,13,0.9868571162223816
1615098071.692419,14,0.9871428608894348
1615098075.404859,15,0.9865714311599731
1615098079.247579,16,0.9865714311599731
1615098082.885999,17,0.9874285459518433
1615098086.513399,18,0.9871428608894348
1615098090.193675,19,0.9871428608894348
1615098094.15387,20,0.9860000014305115
1615098097.932661,21,0.9862856864929199
1615098101.691453,22,0.9857142567634583
1615098105.376136,23,0.9879999756813049
1615098109.379173,24,0.9882857203483582
1615098113.177138,25,0.9877142906188965
1615098117.009033,26,0.9879999756813049
1615098120.849036,27,0.9857142567634583
1615098125.339214,28,0.9891428351402283
1615098129.400245,29,0.9871428608894348
1615098134.245532,30,0.9882857203483582
1615098138.242527,31,0.9888571500778198
1615098142.441802,32,0.9868571162223816
1615098146.457024,33,0.9865714311599731
1615098150.493143,34,0.9882857203483582
1615098154.483036,35,0.9865714311599731
1615098158.823162,36,0.9888571500778198
1615098163.010207,37,0.9871428608894348
1615098167.039147,38,0.9879999756813049
1615098171.25674,39,0.9882857203483582
1615098175.497065,40,0.9885714054107666
1615098179.727675,41,0.9882857203483582
1615098184.182217,42,0.9879999756813049
1615098188.401694,43,0.9879999756813049
1615098192.67174,44,0.9885714054107666
1615098197.406858,45,0.9868571162223816
1615098201.81648,46,0.9885714054107666
1615098206.386159,47,0.9879999756813049
1615098210.71768,48,0.9879999756813049
1615098215.271132,49,0.9888571500778198
1615098220.275895,50,0.9868571162223816
1615098224.640185,51,0.9885714054107666
1615098228.875029,52,0.9882857203483582
1615098233.155634,53,0.9885714054107666
1615098237.970833,54,0.9871428608894348
1615098241.739056,55,0.9897142648696899
1615098245.852444,56,0.9879999756813049
1615098249.634993,57,0.9882857203483582
1615098253.841776,58,0.9891428351402283
1615098257.765913,59,0.9894285798072815
1615098261.603582,60,0.9900000095367432
1615098265.464075,61,0.9868571162223816
1615098269.447587,62,0.9885714054107666
1615098273.370193,63,0.9882857203483582
1615098277.117557,64,0.9891428351402283
1615098281.460206,65,0.9894285798072815
1615098285.541193,66,0.9885714054107666
1615098289.398768,67,0.9874285459518433
1615098293.278425,68,0.9891428351402283
1615098297.766041,69,0.9874285459518433
1615098301.837307,70,0.9871428608894348
1615098306.527514,71,0.9879999756813049
1615098310.627913,72,0.9865714311599731
1615098317.76189,73,0.9879999756813049
1615098321.575592,74,0.9885714054107666
1615098325.387245,75,0.9888571500778198
1615098329.14643,76,0.9894285798072815
1615098333.134878,77,0.9879999756813049
1615098337.019209,78,0.9888571500778198
1615098340.819804,79,0.9877142906188965
1615098344.58177,80,0.9882857203483582
1615098348.720438,81,0.9888571500778198
1615098352.605329,82,0.9874285459518433
1615098356.36405,83,0.9882857203483582
1615098360.070361,84,0.9894285798072815
1615098364.791789,85,0.9882857203483582
1615098368.874099,86,0.9894285798072815
1615098372.684755,87,0.9877142906188965
1615098376.502054,88,0.9882857203483582
1615098380.431094,89,0.9882857203483582
1615098384.322634,90,0.9888571500778198
