Wall time,Step,Value
1615102405.321944,0,0.948285698890686
1615102405.817209,1,0.9777143001556396
1615102406.286109,2,0.9834285974502563
1615102406.729711,3,0.9842857122421265
1615102407.190877,4,0.9825714230537415
1615102407.639591,5,0.980571448802948
1615102408.091733,6,0.9837142825126648
1615102408.512174,7,0.9845714569091797
1615102408.978258,8,0.9831428527832031
1615102409.404237,9,0.9857142567634583
1615102409.819058,10,0.9848571419715881
1615102410.28615,11,0.984000027179718
1615102410.770055,12,0.9868571162223816
1615102411.330706,13,0.9862856864929199
1615102411.817571,14,0.9865714311599731
1615102412.23582,15,0.9842857122421265
1615102413.028294,16,0.9862856864929199
1615102413.45939,17,0.9891428351402283
1615102414.867464,18,0.9862856864929199
1615102415.842382,19,0.9871428608894348
1615102416.256461,20,0.9862856864929199
1615102416.657766,21,0.9871428608894348
1615102417.100845,22,0.9862856864929199
1615102417.511751,23,0.9879999756813049
1615102418.016007,24,0.9860000014305115
1615102418.415493,25,0.9871428608894348
1615102418.820169,26,0.9871428608894348
1615102419.293864,27,0.9877142906188965
1615102419.737006,28,0.9871428608894348
1615102420.162773,29,0.9882857203483582
1615102420.704976,30,0.9877142906188965
1615102421.160801,31,0.9871428608894348
1615102421.599759,32,0.9877142906188965
1615102422.04182,33,0.9885714054107666
1615102422.491519,34,0.9879999756813049
1615102422.864899,35,0.9882857203483582
1615102423.312971,36,0.9871428608894348
1615102423.70651,37,0.9874285459518433
1615102424.211066,38,0.9874285459518433
1615102424.62992,39,0.9882857203483582
1615102425.034846,40,0.9891428351402283
1615102425.463928,41,0.9868571162223816
1615102425.885557,42,0.9882857203483582
1615102426.294479,43,0.9877142906188965
1615102426.696479,44,0.9885714054107666
1615102427.094315,45,0.9885714054107666
1615102427.56661,46,0.9885714054107666
1615102427.971117,47,0.9888571500778198
1615102428.406355,48,0.9874285459518433
1615102428.930448,49,0.9885714054107666
1615102429.353465,50,0.9882857203483582
1615102429.776572,51,0.9877142906188965
1615102430.747576,52,0.9874285459518433
1615102431.490521,53,0.9885714054107666
1615102431.921874,54,0.9891428351402283
1615102432.312593,55,0.9885714054107666
1615102432.726913,56,0.9888571500778198
1615102433.124758,57,0.9891428351402283
