Round,Accuracy,Precision,Recall,F1Score,ROC AUC,Training Time,Testing Time
1,0.829871838,0.527920849,0.408647609,0.259207296,0.439405184,395.1570301,0.453005253
2,0.885399573,0.738046079,0.618768845,0.669248066,0.559679544,432.0217101,0.567419526
3,0.945932438,0.908144546,0.808867312,0.849263918,0.830191548,500.2310751,0.987848477
4,0.976386805,0.958211124,0.888937883,0.919300757,0.920332751,500.0266136,1.009212845
5,0.986986308,0.978292663,0.909016442,0.929316671,0.940851729,679.2579355,1.506943274
6,0.986841194,0.978343387,0.919082067,0.939335566,0.941497903,727.0771122,1.639400244
7,0.987065904,0.978432853,0.899139705,0.929350467,0.932846041,876.0410684,3.124975681
8,0.986924989,0.978528208,0.919173501,0.939365368,0.944080811,878.8264312,4.680325277
