Epoch,Train_Loss
0,0.06958749
1,0.069429316
2,0.061492898
3,0.058973376
4,0.0597261
5,0.058225188
6,0.055959459
7,0.055603308
8,0.054213334
9,0.052567575
10,0.054004095
11,0.050686549
12,0.048289176
13,0.04641946
14,0.047743205
15,0.050688464
16,0.046560884
17,0.045309857
18,0.043421734
19,0.04388883
20,0.048090257
21,0.042581245
22,0.044220146
23,0.041674826
24,0.044451192
25,0.041408207
26,0.040374108
27,0.040448409
28,0.040061947
29,0.039820522
30,0.04030424
31,0.040129006
32,0.039570674
33,0.041228347
34,0.039047804
35,0.03994574
36,0.03863157
37,0.038560219
38,0.038989671
39,0.037180707
40,0.037163209
41,0.037118454
42,0.036203105
43,0.037161041
44,0.03684495
45,0.036989428
46,0.036896043
47,0.037815455
48,0.036867078
49,0.036853388
50,0.035582714
51,0.036840886
52,0.035715736
53,0.035530534
54,0.036916386
55,0.035472896
56,0.035145797
57,0.034577735
58,0.034907721
59,0.034277737
60,0.035761394
61,0.034552295
62,0.035237197
63,0.034316167
64,0.034636471
65,0.034640852
66,0.033667423
67,0.034466676
68,0.034529354
69,0.033807736
70,0.034001131
71,0.033444278
72,0.033021182
73,0.033446625
74,0.033034172
75,0.033611573
76,0.03338673
77,0.033531666
78,0.032572396
79,0.0328274
80,0.032819904
81,0.032711703
82,0.032689251
83,0.032603223
84,0.032856002
85,0.032879896
86,0.032463159
87,0.032768592
88,0.031986855
89,0.032215636
90,0.032425717
91,0.031766139
92,0.032039139
93,0.03167519
94,0.032367248
95,0.031724129
96,0.03174568
97,0.031186059
98,0.031531859
99,0.031738922
100,0.031246591
101,0.031872962
102,0.031973604
103,0.030886794
104,0.031338651
105,0.031943932
106,0.031197404
107,0.030785
108,0.031048615
109,0.03063813
110,0.030931734
111,0.031824589
112,0.03130338
113,0.030611079
114,0.030492062
115,0.030644976
116,0.030762231
117,0.030065728
118,0.030325433
119,0.030367117
120,0.030157873
121,0.030422455
122,0.030346002
123,0.030062396
124,0.030182816
125,0.030517278
126,0.02988077
127,0.029688476
128,0.030103544
129,0.02948508
130,0.030085709
131,0.02971554
132,0.029574551
133,0.030120563
134,0.029595662
135,0.029350577
136,0.029527942
137,0.030091628
138,0.029610517
139,0.02917685
140,0.028852249
141,0.029386919
142,0.029430842
143,0.029211365
144,0.02909057
145,0.029029677
146,0.029203016
147,0.028798783
148,0.029076837
149,0.02894114
150,0.028462173
151,0.02878901
152,0.028752716
153,0.02916413
154,0.029215228
155,0.02866387
156,0.028458303
157,0.028724175
158,0.028614642
159,0.028589943
160,0.029029334
161,0.02863238
162,0.028506801
163,0.028188039
164,0.028179696
165,0.028044365
166,0.028730817
167,0.028092736
168,0.028810179
169,0.028127912
170,0.02806492
171,0.028179254
172,0.02772478
173,0.028098527
174,0.027980989
175,0.027611036
176,0.028009927
177,0.027524855
178,0.02766275
179,0.028075842
180,0.027642561
181,0.028162148
182,0.027750667
183,0.027823891
184,0.028311763
185,0.027727967
186,0.027345316
187,0.02741571
188,0.027770193
189,0.02781865
190,0.027842455
191,0.027570285
192,0.027870862
193,0.027907049
194,0.027703168
195,0.027322242
196,0.02726833
197,0.027428757
198,0.027475169
199,0.027470168
200,0.027351461
201,0.027207857
202,0.027376056
203,0.027303347
204,0.027273981
205,0.027003061
206,0.027052166
207,0.027299
208,0.026942439
209,0.027104696
210,0.027762227
211,0.02693999
212,0.026648728
213,0.027314518
214,0.027539322
215,0.026734285
216,0.026655177
217,0.026898552
218,0.02651128
219,0.026687656
220,0.02656514
221,0.026637632
222,0.02670854
223,0.026721925
224,0.026514914
225,0.02669551
226,0.026817402
227,0.026409067
228,0.026448457
229,0.026349274
230,0.02704192
231,0.026636509
232,0.027068328
233,0.026536707
234,0.026380774
235,0.02651081
236,0.026289983
237,0.026316369
238,0.026315739
239,0.026155738
240,0.02648131
241,0.02655079
242,0.026540939
243,0.026335353
244,0.026049955
245,0.026524741
246,0.026609195
247,0.026116526
248,0.026031656
249,0.026335808
250,0.02631258
251,0.026051315
252,0.026086979
253,0.026030418
254,0.025822198
255,0.026164141
256,0.026136857
257,0.026041897
258,0.025944067
259,0.025829241
260,0.025827346
261,0.026194312
262,0.025802923
263,0.025682723
264,0.025532404
265,0.026146371
266,0.025665183
267,0.025888223
268,0.026386205
269,0.025680225
270,0.025979897
271,0.025730781
272,0.025865525
273,0.025775231
274,0.025939073
275,0.02556796
276,0.02555979
277,0.025459507
278,0.025556972
279,0.02584891
280,0.025390441
281,0.025830455
282,0.025395324
283,0.02529908
284,0.025672775
285,0.025468612
286,0.025308158
287,0.025684804
288,0.026049295
289,0.025692178
290,0.02557647
291,0.025588689
292,0.025380254
293,0.025326727
294,0.025477061
295,0.025412576
296,0.025375862
297,0.025248995
298,0.025554519
299,0.025605733
300,0.025826281
301,0.025163475
302,0.025211459
303,0.025308724
304,0.025346309
305,0.025077766
306,0.025142889
307,0.025146408
308,0.025419166
309,0.025167223
310,0.025185747
311,0.02507461
312,0.024948746
313,0.025077872
314,0.025341759
315,0.025029557
316,0.025030896
317,0.024826098
318,0.02503201
319,0.024716841
320,0.025094435
321,0.024935458
322,0.024891786
323,0.025061361
324,0.025463795
325,0.025010746
326,0.024865415
327,0.024706244
328,0.025469381
329,0.025343129
330,0.024743654
331,0.025021888
332,0.02494367
333,0.024988506
334,0.02486133
335,0.024637504
336,0.025064386
337,0.024855066
338,0.024698295
339,0.024905967
340,0.024898274
341,0.025269084
342,0.024703389
343,0.024879688
344,0.024758641
345,0.024675703
346,0.024627814
347,0.024646679
348,0.024651198
349,0.024817152
350,0.024731247
