Epoch,Train_Accuracy
0,0.975285699
1,0.9777143
2,0.983428597
3,0.984285712
4,0.982571423
5,0.980571449
6,0.983714283
7,0.984571457
8,0.983142853
9,0.985714257
10,0.984857142
11,0.984000028
12,0.986857116
13,0.986285686
14,0.986571431
15,0.984285712
16,0.986285686
17,0.989142835
18,0.986285686
19,0.987142861
20,0.986285686
21,0.987142861
22,0.986285686
23,0.987999976
24,0.986000001
25,0.987142861
26,0.987142861
27,0.987714291
28,0.987142861
29,0.98828572
30,0.987714291
31,0.987142861
32,0.987714291
33,0.988571405
34,0.987999976
35,0.98828572
36,0.987142861
37,0.987428546
38,0.987428546
39,0.98828572
40,0.989142835
41,0.986857116
42,0.98828572
43,0.987714291
44,0.988571405
45,0.988571405
46,0.988571405
47,0.98885715
48,0.987428546
49,0.988571405
50,0.98828572
51,0.987714291
52,0.987428546
53,0.988571405
54,0.989142835
55,0.988571405
56,0.98885715
57,0.989142835
58,0.989142835
59,0.988571405
60,0.98828572
61,0.989142835
62,0.988571405
63,0.989142835
64,0.98885715
65,0.98885715
66,0.98828572
67,0.987999976
68,0.98942858
69,0.988571405
70,0.989142835
71,0.98828572
72,0.98828572
73,0.98885715
74,0.989142835
75,0.98885715
76,0.98885715
77,0.989142835
78,0.988571405
79,0.98942858
80,0.98828572
81,0.98942858
82,0.98885715
83,0.98885715
84,0.98885715
85,0.99000001
86,0.988571405
87,0.988571405
88,0.989142835
89,0.989714265
90,0.987999976
91,0.98942858
92,0.98885715
93,0.98885715
94,0.989142835
95,0.98885715
96,0.98828572
97,0.990285695
98,0.989142835
99,0.989714265
100,0.989142835
101,0.988571405
102,0.989714265
103,0.98885715
104,0.98885715
105,0.987999976
106,0.98885715
107,0.98942858
108,0.98885715
109,0.989714265
110,0.989714265
111,0.989714265
112,0.989142835
113,0.98885715
114,0.989714265
115,0.98942858
116,0.988571405
117,0.98942858
118,0.989714265
119,0.99000001
120,0.989142835
121,0.989142835
122,0.98885715
123,0.98942858
124,0.99000001
125,0.98885715
126,0.989142835
127,0.989714265
128,0.99000001
